,Unnamed: 0,word,word_occurrences,freqs
344,344,nazzy,0,0.0
345,345,pubsy,0,0.0
346,346,pedro,2669817,0.0025473024459265986
347,347,cucks,0,0.0
348,348,baith,70260,6.703585670883167e-05
349,349,magas,12748,1.216301026649852e-05
350,350,gompa,13258,1.2649607006058783e-05
351,351,bilby,19456,1.8563188558597052e-05
352,352,popes,997285,0.0009515208419850154
353,353,hents,653,6.230346488879458e-07
354,354,auras,103889,9.912166407093385e-05
355,355,giddy,548622,0.0005234464244137866
356,356,tacos,118615,0.00011317190639792296
357,357,onned,361,3.444341627083437e-07
358,358,bowed,3207132,0.003059960734390958
359,359,tsars,92887,8.86245320539887e-05
360,360,slogs,2773,2.6457505074521804e-06
361,361,grind,1096814,0.001046482580988336
362,362,morel,306032,0.0002919885752962877
363,363,asada,28619,2.7305709979363126e-05
364,364,weeke,32193,3.071570360130114e-05
365,365,winna,39156,3.7359180263179796e-05
366,366,amman,197479,0.00018841693633651248
367,367,sabji,0,0.0
368,368,runts,17996,1.717018612769904e-05
369,369,slops,78764,7.514961881318556e-05
370,370,tread,1687039,0.0016096228959039376
371,371,loofa,1951,1.8614710566315197e-06
372,372,fever,9800178,0.009350460121392606
373,373,glove,1226608,0.0011703204970951691
374,374,trist,132306,0.00012623464357698096
375,375,creps,2617,2.496909151821982e-06
376,376,pheon,2197,2.096182425125294e-06
377,377,beres,17379,1.6581499483956524e-05
378,378,corso,230676,0.00022009056763686952
379,379,sofar,13546,1.2924391047222227e-05
380,380,reeze,5478,5.226621449629659e-06
381,381,pisos,8774,8.37137214294462e-06
382,382,lames,151523,0.0001445697995458625
383,383,treck,2454,2.3413890174135054e-06
384,384,boabs,0,0.0
385,385,apply,20586725,0.019642026006321128
386,386,grata,109141,0.00010413265637715053
387,387,daals,0,0.0
388,388,soyas,0,0.0
389,389,amour,585778,0.0005588973821688869
390,390,gerne,13571,1.2948243828573221e-05
391,391,dudes,115874,0.00011055668745060006
392,392,nifle,255,2.43298369780132e-07
393,393,again,133842069,0.1277002242968625
394,394,slurp,36358,3.468957697437662e-05
395,395,ulnar,591708,0.0005645552619053425
396,396,ettin,4883,4.658925253476018e-06
397,397,noles,11518,1.0989453424029649e-05
398,398,gobar,4773,4.553973015531647e-06
399,399,bohos,1017,9.703311453584087e-07
400,400,kawas,6738,6.428801629719723e-06
401,401,radgy,0,0.0
402,402,coati,19013,1.814051727305745e-05
403,403,scail,701,6.688319890818531e-07
404,404,helot,23661,2.257522638183413e-05
405,405,motel,1206660,0.0011512878857995845
406,406,tides,1462232,0.0013951320072170272
407,407,coven,114323,0.00010907686089558443
408,408,jasey,1430,1.3643790932768185e-06
409,409,flown,1421625,0.0013563884115242357
410,410,urubu,5958,5.684594851568731e-06
411,411,kiddo,67711,6.460382712228438e-05
412,412,nrtya,798,7.613807807237072e-07
413,413,pinna,145531,0.0001388527649116564
414,414,curbs,189370,0.0001806800481775043
415,415,botas,15170,1.4473867723782754e-05
416,416,cycle,13907111,0.01326893111627977
417,417,yugas,10145,9.679458672233094e-06
418,418,ugali,3921,3.741070227089794e-06
419,419,opter,1738,1.6582453595210565e-06
420,420,laver,123628,0.00011795486611442415
421,421,ousts,13567,1.2944427383557062e-05
422,422,ootid,3125,2.9815976688741664e-06
423,423,easel,372087,0.00035501239418188227
424,424,lewis,11543492,0.011013775628117629
425,425,renos,2965,2.828939868227809e-06
426,426,paned,50443,4.8128233987526265e-05
427,427,cunit,821,7.83325339566621e-07
428,428,muils,160,1.5265780064635732e-07
429,429,jehus,2830,2.700134848932445e-06
430,430,ebike,0,0.0
431,431,cotch,17799,1.6982226210653214e-05
432,432,upper,30045769,0.028667006339178142
433,433,theor,129053,0.0001231309196675897
434,434,unais,0,0.0
435,435,idiot,1380703,0.001317344270786422
436,436,manes,258442,0.00024658242071653677
